id,sensortypeid,cityid,locationname,locationtype,altitude,installedat
1410,1005,1024,"Victory Park (Poklonnaya Hill)","Other",41,"2018-10-29"
1411,1008,1024,"Luzhniki Stadium","Other",39,"2018-11-22"
1412,1010,1024,"Zaryadye Park","Urban",11,"2020-09-21"
1413,1006,1024,"Izmailovo Kremlin","Other",7,"2017-11-11"
1414,1001,1024,"Vnukovo Airport Logistics Terminal","Industrial",4,"2017-12-29"
1415,1003,1024,"Lyublino Industrial Zone","Industrial",3,"2017-02-12"
1416,1006,1024,"Gorky Park","Urban",8,"2017-02-17"
1417,1009,1024,"Solntsevo District","Other",6,"2019-02-20"
1418,1005,1024,"Moscow Oil Refinery (Kapotnya)","Industrial",12,"2020-02-16"
1419,1012,1024,"Biryulyovo Freight Station & Distribution Yard","Industrial",5,"2020-03-31"
1420,1010,1024,"Tsaritsyno Park","Suburban",9,"2018-10-24"
1421,1007,1024,"Belorussky Railway Station","Other",8,"2017-10-09"
1422,1011,1024,"Luzhniki Stadium","Urban",36,"2022-04-03"
1423,1009,1024,"Arbat Street","Urban",15,"2022-01-19"
1424,1008,1024,"Kuzminki District","Other",4,"2019-03-14"
1425,1002,1024,"Patriarch Ponds Area","Urban",14,"2018-06-06"
1426,1010,1024,"Tushino Industrial Zone","Industrial",37,"2017-01-15"
1427,1003,1024,"Krylatskoye District","Other",4,"2018-01-29"
1428,1008,1024,"Skhodnya Logistics Hub","Industrial",10,"2018-05-17"
1429,1012,1024,"Lubyanka Square & Metro Hub","Urban",16,"2018-03-23"
1430,1005,1025,"Marienplatz","Suburban",6,"2020-11-01"
1431,1012,1025,"Nymphenburg Palace","Industrial",10,"2020-07-23"
1432,1008,1025,"Englischer Garten","Suburban",2,"2022-01-02"
1433,1007,1025,"Hofbrauhaus","Suburban",3,"2018-01-15"
1434,1011,1025,"Allianz Arena","Urban",16,"2019-04-04"
1435,1006,1025,"BMW Museum & Welt","Other",4,"2018-05-13"
1436,1001,1025,"Frauenkirche","Industrial",5,"2020-06-03"
1437,1010,1025,"Olympiapark","Suburban",7,"2018-08-18"
1438,1004,1025,"Central Station","Urban",10,"2019-07-04"
1439,1003,1025,"City Library","Industrial",2,"2019-07-01"
1440,1009,1025,"National Museum","Urban",6,"2021-10-08"
1441,1002,1025,"New Hall","Other",12,"2022-01-12"
1442,1012,1025,"Old Garden","Industrial",8,"2021-09-27"
1443,1006,1025,"Main Square","Other",1,"2018-03-23"
1444,1003,1025,"City Theater","Suburban",9,"2020-08-03"
1445,1007,1026,"Eiffel Tower","Other",324,"2022-07-01"
1446,1009,1026,"Louvre Museum","Urban",9,"2021-04-18"
1447,1001,1026,"Notre-Dame Cathedral","Other",5,"2022-06-11"
1448,1003,1026,"Arc de Triomphe","Industrial",50,"2022-04-14"
1449,1006,1026,"Champs-Elysees","Other",7,"2017-10-28"
1450,1012,1026,"Sacre-Coeur Basilica","Industrial",18,"2017-04-27"
1451,1011,1026,"Montmartre","Urban",130,"2018-08-26"
1452,1003,1026,"Musee dOrsay","Industrial",8,"2021-05-25"
1453,1009,1026,"Centre Pompidou","Industrial",5,"2021-04-02"
1454,1002,1026,"Luxembourg Gardens","Urban",14,"2020-11-17"
1455,1010,1026,"Place de la Concorde","Suburban",8,"2020-04-03"
1456,1004,1026,"Les Invalides","Suburban",6,"2018-01-13"
1457,1006,1026,"Sainte-Chapelle","Urban",2,"2018-02-20"
1458,1008,1026,"Moulin Rouge","Urban",11,"2020-03-29"
1459,1005,1026,"Palais Garnier (Opera Garnier)","Suburban",4,"2022-02-16"
1460,1008,1026,"Grand Palais & Petit Palais","Suburban",7,"2017-01-20"
1461,1001,1026,"Pantheon","Other",3,"2020-08-15"
1462,1011,1026,"Catacombs of Paris","Industrial",19,"2018-11-19"
1463,1001,1026,"Grande Arche de la Defense","Other",110,"2022-09-10"
1464,1010,1026,"Main Library","Industrial",5,"2020-05-09"
1465,1003,1026,"City Zoo","Other",9,"2019-11-15"
1466,1009,1026,"Old Market","Urban",14,"2020-04-17"
1467,1006,1026,"Downtown Museum","Suburban",6,"2017-12-21"
1468,1007,1026,"National Theatre","Urban",2,"2018-05-02"
1469,1011,1026,"Central Station","Suburban",4,"2017-05-01"
1470,1004,1027,"Prague Castle","Industrial",8,"2018-06-15"
1471,1002,1027,"Charles Bridge","Industrial",6,"2021-10-21"
1472,1009,1027,"Old Town Square","Suburban",3,"2017-11-19"
1473,1008,1027,"St. Vitus Cathedral","Other",4,"2018-10-11"
1474,1001,1027,"Wenceslas Square","Other",2,"2020-12-13"
1475,1010,1027,"Lennon Wall","Urban",1,"2017-03-27"
1476,1012,1027,"Vysehrad","Industrial",36,"2022-11-30"
1477,1006,1027,"Petrin Tower","Industrial",23,"2017-12-22"
1478,1009,1027,"Dancing House","Urban",6,"2020-05-05"
1479,1003,1027,"National Theatre","Other",3,"2020-01-26"
1480,1007,1027,"Central Park","Suburban",7,"2021-03-20"
1481,1004,1027,"Main Station","Urban",14,"2018-11-19"
1482,1008,1027,"City Museum","Suburban",8,"2022-07-05"
1483,1005,1027,"Old Tower","Industrial",27,"2021-08-01"
1484,1011,1027,"New Garden","Urban",12,"2017-07-19"
1485,1001,1028,"Colosseum","Suburban",18,"2017-12-13"
1486,1008,1028,"Roman Forum","Urban",11,"2021-09-01"
1487,1002,1028,"Pantheon","Industrial",4,"2022-07-03"
1488,1003,1028,"Trevi Fountain","Industrial",3,"2020-10-06"
1489,1007,1028,"St. Peter Basilica","Suburban",9,"2020-04-27"
1490,1006,1028,"Spanish Steps","Suburban",4,"2020-04-20"
1491,1012,1028,"Piazza Navona","Suburban",2,"2019-10-06"
1492,1011,1028,"Vatican Museums","Suburban",13,"2018-07-17"
1493,1005,1028,"Castel Sant Angelo","Urban",5,"2017-11-19"
1494,1009,1028,"Villa Borghese & Galleria Borghese","Other",6,"2022-04-15"
1495,1004,1028,"Trastevere","Urban",14,"2021-12-02"
1496,1008,1028,"Capitoline Hill & Museums","Other",47,"2021-04-17"
1497,1010,1028,"Circus Maximus","Other",3,"2021-08-18"
1498,1012,1028,"Appian Way (Via Appia Antica)","Suburban",9,"2022-08-30"
1499,1001,1028,"Baths of Caracalla","Suburban",6,"2019-01-10"
1500,1003,1028,"New Park","Industrial",11,"2021-03-09"
1501,1006,1028,"Old Church","Industrial",4,"2017-12-25"
1502,1003,1028,"City Library","Suburban",2,"2019-06-29"
1503,1010,1028,"Central Museum","Other",7,"2022-08-10"
1504,1008,1028,"Royal Palace","Other",16,"2019-05-20"
1505,1011,1028,"National Gallery","Suburban",5,"2019-09-11"
1506,1011,1029,"Hohensalzburg Fortress","Other",36,"2020-08-20"
1507,1008,1029,"Salzburg Cathedral","Urban",5,"2017-01-21"
1508,1002,1029,"Mirabell Palace & Gardens","Urban",4,"2017-02-08"
1509,1003,1029,"Mozart Birthplace","Industrial",2,"2017-12-29"
1510,1009,1029,"Hellbrunn Palace","Other",7,"2017-02-03"
1511,1010,1029,"Main Museum","Urban",3,"2020-05-23"
1512,1005,1029,"Old Market","Urban",1,"2020-01-05"
1513,1007,1029,"City Park","Industrial",8,"2022-05-15"
1514,1004,1029,"Downtown Monument","Industrial",15,"2022-06-02"
1515,1006,1029,"Central Library","Urban",4,"2017-04-28"
1516,1009,1030,"State Hermitage Museum","Urban",11,"2021-01-11"
1517,1001,1030,"Peter and Paul Fortress","Other",16,"2020-06-02"
1518,1004,1030,"Admiralteyskaya Embankment","Other",7,"2021-11-06"
1519,1002,1030,"St. Isaac Cathedral","Other",5,"2022-10-20"
1520,1011,1030,"Nevsky Prospekt","Other",3,"2017-07-28"
1521,1005,1030,"Palace Square","Other",11,"2019-08-28"
1522,1010,1030,"Peterhof Palace","Suburban",19,"2022-10-18"
1523,1006,1030,"Catherine Palace (Tsarskoye Selo)","Suburban",32,"2022-04-02"
1524,1003,1030,"Kazan Cathedral","Suburban",8,"2017-03-26"
1525,1008,1030,"Kolpino Izhora Plants Area","Industrial",4,"2020-11-18"
1526,1012,1030,"Pulkovo Airport Cargo Terminal","Industrial",14,"2019-02-02"
1527,1007,1030,"Smolny Cathedral","Other",5,"2020-06-19"
1528,1012,1030,"Bronze Horseman","Urban",3,"2020-01-27"
1529,1001,1030,"Lomonosov (Oranienbaum)","Suburban",6,"2022-07-28"
1530,1003,1030,"Komendantsky Prospekt Area","Suburban",9,"2017-01-23"
1531,1001,1030,"Liteyny Prospekt","Urban",4,"2018-07-14"
1532,1006,1030,"Sadovaya Street","Other",27,"2021-05-02"
1533,1004,1030,"Moskovsky Railway Station","Other",12,"2020-11-17"
1534,1008,1030,"Baltiysky Shopping Center","Urban",17,"2019-02-23"
1535,1010,1030,"Kupchino District","Other",3,"2022-04-28"
1536,1009,1030,"Ligovsky Prospekt","Urban",7,"2019-08-05"
1537,1005,1030,"Lakhta Center","Urban",30,"2019-10-28"
1538,1002,1030,"Pushkin (Tsarskoye Selo)","Suburban",5,"2020-01-18"
1539,1011,1030,"Mariinsky Theatre","Other",6,"2020-11-06"
1540,1007,1030,"Bronka Port Terminal","Industrial",8,"2017-06-17"
1541,1004,1031,"Gamla Stan","Urban",12,"2017-05-04"
1542,1011,1031,"Stockholm Royal Palace","Industrial",7,"2020-01-05"
1543,1009,1031,"Vasa Museum","Suburban",5,"2019-11-04"
1544,1003,1031,"Skansen","Urban",22,"2017-07-03"
1545,1008,1031,"Stockholm City Hall","Other",2,"2020-09-03"
1546,1003,1031,"Drottningholm Palace","Industrial",14,"2020-04-02"
1547,1007,1031,"ABBA Museum","Urban",4,"2017-08-13"
1548,1006,1031,"Central Park","Other",8,"2018-03-06"
1549,1008,1031,"Main Library","Industrial",3,"2018-09-25"
1550,1012,1031,"National Museum","Suburban",6,"2022-11-18"
1551,1010,1031,"Downtown Arena","Suburban",31,"2021-03-30"
1552,1002,1031,"City Theatre","Suburban",5,"2018-11-23"
1553,1001,1031,"Western Market","Industrial",9,"2020-01-02"
1554,1003,1031,"Old Cathedral","Urban",7,"2018-09-08"
1555,1011,1031,"Grand Square","Suburban",4,"2019-11-02"
1556,1005,1031,"Central Station","Urban",1,"2021-09-04"
1557,1009,1032,"Mercedes-Benz Museum","Suburban",5,"2017-08-29"
1558,1007,1032,"Porsche Museum","Industrial",4,"2019-09-24"
1559,1011,1032,"Schlossplatz","Suburban",3,"2021-06-07"
1560,1006,1032,"New Palace (Neues Schloss)","Suburban",2,"2021-06-10"
1561,1010,1032,"Stuttgart TV Tower","Urban",48,"2021-06-08"
1562,1003,1032,"City Library","Urban",6,"2021-08-13"
1563,1002,1032,"Central Park","Suburban",8,"2018-12-11"
1564,1012,1032,"Main Station","Other",10,"2020-12-10"
1565,1004,1032,"Old Hall","Urban",19,"2018-01-13"
1566,1008,1032,"Grand Arena","Suburban",7,"2018-02-15"
1567,1005,1033,"Bashneft Ufa Oil Refinery","Industrial",10,"2021-07-29"
1568,1001,1033,"Seven Girls Fountain","Suburban",3,"2017-11-11"
1569,1010,1033,"Lala Tulpan Mosque","Urban",6,"2018-06-04"
1570,1011,1033,"Ufa Engine Industrial Association (UMPO)","Industrial",9,"2019-08-29"
1571,1004,1033,"Monument Druzhby (Friendship Monument)","Other",5,"2018-07-02"
1572,1003,1033,"Maximovka Industrial Park","Industrial",4,"2021-10-12"
1573,1009,1033,"Bashkir State Opera and Ballet Theatre","Urban",8,"2018-03-15"
1574,1008,1033,"South-Ufa Logistics Center","Industrial",6,"2018-03-21"
1575,1002,1033,"Victory Park","Suburban",2,"2022-04-20"
1576,1006,1033,"Ufa State Circus","Other",20,"2017-05-12"
1577,1007,1033,"Ufa Pipe Plant","Industrial",3,"2017-07-18"
1578,1006,1033,"Ufa Railway Station","Industrial",4,"2022-03-29"
1579,1010,1033,"Gostiny Dvor","Urban",5,"2017-05-30"
1580,1005,1033,"Neftebaza Ufa-2","Industrial",2,"2017-03-10"
1581,1001,1033,"Iremel Shopping Center","Urban",7,"2021-10-19"
1582,1004,1033,"Bashkir State University Campus","Urban",6,"2017-07-06"
1583,1012,1033,"Ufa-Arena","Suburban",1,"2019-07-19"
1584,1003,1033,"National Museum of Bashkortostan","Other",11,"2018-11-09"
1585,1011,1033,"Ufa International Airport","Industrial",17,"2022-02-23"
1586,1009,1033,"Salavat Yulaev Monument","Urban",4,"2022-11-13"
1587,1008,1033,"Lenin Square","Other",3,"2019-07-13"
1588,1003,1034,"Inzersdorf Industrial Area","Industrial",31,"2021-09-05"
1589,1002,1034,"St. Stephen Cathedral","Urban",5,"2018-01-15"
1590,1009,1034,"Hofburg Palace","Other",19,"2021-09-22"
1591,1007,1034,"Belvedere Palace","Other",8,"2021-07-16"
1592,1010,1034,"Aspern Innovation Campus","Industrial",5,"2019-07-27"
1593,1001,1034,"Freudenau Port Zone","Industrial",65,"2020-05-08"
1594,1012,1034,"Vienna City Hall (Rathaus)","Other",8,"2018-06-13"
1595,1008,1034,"Kledering Freight Terminal","Industrial",4,"2021-05-12"
1596,1011,1034,"Lobau Oil Terminal","Industrial",3,"2021-07-23"
1597,1005,1034,"Vienna Schwechat Airport Cargo Terminal","Industrial",2,"2020-04-30"
1598,1004,1034,"Vienna State Opera","Urban",9,"2022-12-23"
1599,1009,1034,"Pfaffenau Waste-to-Energy Plant","Industrial",6,"2017-03-08"
1600,1011,1034,"Transdanubia Residential Zone","Suburban",5,"2022-03-03"
1601,1006,1034,"Prater Park","Suburban",11,"2019-03-18"
1602,1002,1034,"Schonbrunn Palace","Other",4,"2021-06-04"
1603,1007,1034,"Votivkirche Square","Urban",26,"2018-05-09"
1604,1003,1034,"Breitenlee Residential Quarter","Suburban",21,"2017-10-03"
1605,1001,1035,"Old Town Market Square","Suburban",3,"2021-04-15"
1606,1012,1035,"Royal Castle","Industrial",10,"2017-09-21"
1607,1008,1035,"Palace of Culture and Science","Suburban",28,"2019-12-09"
1608,1011,1035,"Lazienki Park & Palace","Other",9,"2020-08-01"
1609,1010,1035,"Wilanow Palace","Other",6,"2020-06-02"
1610,1003,1035,"Warsaw Uprising Monument","Urban",4,"2021-08-03"
1611,1005,1035,"Warsaw Barbican","Urban",8,"2019-06-05"
1612,1011,1035,"Central Park","Urban",7,"2018-05-21"
1613,1009,1035,"New Stadium","Industrial",30,"2018-06-25"
1614,1001,1035,"City Museum","Other",5,"2019-04-02"
1615,1006,1035,"Main Library","Urban",6,"2017-08-15"
1616,1004,1035,"Old Fortress","Industrial",19,"2021-05-30"
1617,1007,1035,"Downtown Market","Other",2,"2018-08-27"
1618,1008,1036,"Ban Jelacic Square","Suburban",39,"2019-10-18"
1619,1005,1036,"Zagreb Cathedral","Urban",5,"2018-12-20"
1620,1006,1036,"St. Mark Church","Other",31,"2020-12-06"
1621,1009,1036,"Lotrscak Tower","Other",8,"2017-12-23"
1622,1010,1036,"Mirogoj Cemetery","Industrial",6,"2022-02-02"
1623,1004,1036,"Dolac Market","Industrial",2,"2022-08-25"
1624,1003,1036,"Central Park","Industrial",4,"2018-12-19"
1625,1002,1036,"City Museum","Suburban",3,"2019-09-24"
1626,1007,1036,"Old Hall","Industrial",1,"2018-08-22"
1627,1012,1036,"Main Library","Urban",7,"2018-02-09"
